id_experimento,T,n_puntos,r2_nernst,mae_nernst,nrmse_nernst,r2_pls,mae_pls,nrmse_pls,r2_kpls,mae_kpls,nrmse_kpls,mejor_modelo
86,650.0,1,,0.064,,,0.0519,,,0.138,,Nernst
87,650.0,1,,0.0813,,,0.0774,,,0.1684,,Nernst
88,650.0,1,,0.1525,,,0.172,,,0.0514,,Nernst
89,650.0,1,,0.1224,,,0.1487,,,0.0595,,Nernst
90,650.0,1,,0.1049,,,0.138,,,0.0541,,Nernst
91,650.0,1,,0.0929,,,0.1329,,,0.0425,,Nernst
92,650.0,1,,0.0831,,,0.1299,,,0.0285,,Nernst
93,650.0,1,,0.0754,,,0.129,,,0.0122,,Nernst
94,650.0,1,,0.069,,,0.1294,,,0.0051,,Nernst
95,650.0,1,,0.0638,,,0.1311,,,0.0231,,Nernst
96,650.0,1,,0.0585,,,0.1326,,,0.0404,,Nernst
97,650.0,1,,0.0499,,,0.1376,,,0.074,,Nernst
98,650.0,1,,0.0494,,,0.144,,,0.0928,,Nernst
99,650.0,1,,0.0469,,,0.1483,,,0.1081,,Nernst
100,650.0,1,,0.0441,,,0.1523,,,0.1217,,Nernst
101,650.0,1,,0.0413,,,0.1563,,,0.1337,,Nernst
102,650.0,1,,0.041,,,0.1628,,,0.1465,,Nernst
103,650.0,1,,0.0389,,,0.1676,,,0.1558,,Nernst
104,650.0,1,,0.0382,,,0.1737,,,0.1649,,Nernst
105,650.0,1,,0.0357,,,0.178,,,0.1703,,Nernst
106,650.0,1,,0.0359,,,0.185,,,0.1769,,Nernst
107,650.0,7,0.5676,0.0998,0.2216,-0.8839,0.2919,0.4625,-1.2878,0.3208,0.5097,Nernst
108,650.0,12,0.9474,0.0448,0.0704,0.8602,0.0738,0.1147,0.7117,0.0889,0.1648,Nernst
109,650.0,8,0.9456,0.0278,0.076,0.5058,0.1099,0.2292,0.848,0.0407,0.1271,Nernst
110,650.0,1,,0.0336,,,0.0517,,,0.0376,,Nernst
