T,n_exp,R2_N,R2_PLS,R2_KPLS,R2_GPR,R2_GPRR,MAE_N,MAE_PLS,MAE_K,MAE_GPR,MAE_GPRR
550.0,1,0.9951,0.9122,0.9961,0.9959,0.9958,0.0087,0.0338,0.0071,0.0065,0.0061
575.0,1,0.8519,0.7756,0.9058,0.923,0.9871,0.0406,0.0545,0.0291,0.0282,0.009
600.0,1,0.8364,0.784,0.8771,0.9264,0.9713,0.0407,0.0477,0.0318,0.0259,0.0148
625.0,1,0.7234,0.6222,0.7815,0.888,0.9493,0.046,0.0501,0.0371,0.0273,0.0169
650.0,106,0.9086,0.8244,0.9143,0.9748,0.9764,0.0379,0.0501,0.0288,0.0174,0.0204
