T,n_exp,R2_N,R2_PLS,R2_KPLS,R2_GPR,R2_GPRR,MAE_N,MAE_PLS,MAE_K,MAE_GPR,MAE_GPRR
550.0,1,0.9951,0.9143,0.8664,0.9986,0.9989,0.0087,0.0359,0.0447,0.004,0.0032
575.0,1,0.8519,0.9924,0.9924,0.9981,0.9976,0.0406,0.0087,0.0073,0.004,0.0049
600.0,1,0.8364,0.9971,0.9877,0.9967,0.9962,0.0407,0.0053,0.0109,0.0056,0.0059
625.0,1,0.7234,0.9632,0.9478,0.9906,0.9907,0.046,0.0149,0.0191,0.0071,0.0069
650.0,106,0.9086,0.9436,0.9666,0.9951,0.9876,0.0379,0.0303,0.0217,0.0056,0.0075
