id_experimento,T,n_puntos,r2_nernst,mae_nernst,nrmse_nernst,r2_pls,mae_pls,nrmse_pls,r2_kpls,mae_kpls,nrmse_kpls,mejor_modelo
63,650.0,15,0.9334,0.0228,0.0791,0.9793,0.0117,0.0442,0.9968,0.0048,0.0174,KPLS
64,650.0,15,0.9342,0.0231,0.0783,0.984,0.0102,0.0386,0.974,0.0149,0.0492,PLS
65,650.0,16,0.8974,0.0289,0.0986,0.9554,0.0166,0.065,0.9643,0.0152,0.0581,KPLS
66,650.0,15,0.8989,0.0276,0.0972,0.9846,0.0105,0.038,0.9927,0.0062,0.0261,KPLS
67,650.0,15,0.9026,0.0274,0.096,0.966,0.0139,0.0567,0.9753,0.0125,0.0483,KPLS
68,650.0,15,0.8689,0.0307,0.1106,0.9499,0.0166,0.0684,0.9794,0.0095,0.0438,KPLS
69,650.0,15,0.8885,0.0284,0.1012,0.975,0.0126,0.0479,0.9895,0.0079,0.0311,KPLS
70,650.0,15,0.8832,0.0292,0.1064,0.9601,0.0154,0.0622,0.9845,0.0091,0.0388,KPLS
71,650.0,16,0.8529,0.0338,0.1172,0.942,0.0182,0.0736,0.9697,0.0151,0.0532,KPLS
72,650.0,15,0.8746,0.0305,0.1086,0.9639,0.0141,0.0582,0.9726,0.0112,0.0508,KPLS
73,650.0,16,0.8554,0.0336,0.1162,0.9482,0.0174,0.0695,0.9596,0.0175,0.0615,KPLS
74,650.0,28,0.9766,0.0142,0.0449,0.9507,0.021,0.0651,0.9826,0.0092,0.0387,KPLS
75,650.0,8,0.9757,0.0213,0.0511,0.9839,0.0144,0.0417,0.9844,0.0159,0.041,KPLS
76,650.0,8,0.9633,0.0235,0.0631,0.9695,0.0271,0.0576,0.9695,0.0261,0.0575,KPLS
77,650.0,8,0.922,0.0357,0.089,0.9375,0.0341,0.0797,0.9293,0.03,0.0848,PLS
78,650.0,9,0.9358,0.0367,0.0817,0.9566,0.0301,0.0672,0.9642,0.0311,0.061,KPLS
79,650.0,7,0.5676,0.0998,0.2216,0.4729,0.1191,0.2447,0.5963,0.1222,0.2141,KPLS
80,650.0,24,0.9289,0.0484,0.0791,0.9605,0.0338,0.0589,0.9696,0.0284,0.0518,KPLS
81,650.0,7,0.9699,0.0195,0.0574,0.913,0.0356,0.0977,0.9667,0.0177,0.0605,Nernst
82,650.0,11,0.9359,0.0401,0.0795,0.9492,0.0346,0.0708,0.9776,0.022,0.047,KPLS
83,650.0,12,0.9474,0.0448,0.0704,0.9732,0.0295,0.0502,0.9807,0.0257,0.0427,KPLS
84,650.0,7,0.9584,0.0213,0.0666,0.9728,0.0198,0.0539,0.9876,0.0127,0.0364,KPLS
85,650.0,9,0.9138,0.0407,0.0999,0.9598,0.0338,0.0682,0.9837,0.0215,0.0434,KPLS
86,650.0,9,0.8794,0.0535,0.1186,0.9118,0.0421,0.1015,0.9795,0.0212,0.0489,KPLS
87,650.0,9,0.879,0.0556,0.1126,0.8553,0.0625,0.1231,0.8051,0.0747,0.1428,Nernst
88,650.0,14,0.9665,0.0147,0.0547,0.9652,0.0137,0.0558,0.9581,0.0176,0.0612,Nernst
89,650.0,13,0.9795,0.0102,0.0449,0.9746,0.0142,0.05,0.9796,0.0118,0.0448,KPLS
90,650.0,16,0.8775,0.0313,0.1061,0.9504,0.0174,0.0675,0.9802,0.0113,0.0427,KPLS
91,650.0,14,0.9762,0.0145,0.046,0.9703,0.0162,0.0514,0.9919,0.0068,0.0268,KPLS
92,650.0,15,0.9468,0.0215,0.0716,0.9825,0.0113,0.041,0.9779,0.0123,0.0461,PLS
93,650.0,16,0.83,0.0358,0.1259,0.9438,0.0182,0.0724,0.9781,0.012,0.0452,KPLS
