id_experimento,T,n_puntos,r2_nernst,mae_nernst,r2_pls,mae_pls,r2_kpls,mae_kpls,r2_gpr,mae_gpr,r2_gpr_res,mae_gpr_res,mejor_modelo
100,650.0,1,,0.0441,,0.0503,,0.0536,,0.0023,,0.0028,Nernst
101,650.0,1,,0.0413,,0.0534,,0.0505,,0.0031,,0.0015,Nernst
102,650.0,1,,0.041,,0.059,,0.0476,,0.0004,,0.0017,Nernst
103,650.0,1,,0.0389,,0.0628,,0.0405,,0.0017,,0.0008,Nernst
104,650.0,1,,0.0382,,0.068,,0.0323,,0.0029,,0.0002,Nernst
105,650.0,1,,0.0357,,0.0714,,0.0199,,0.0005,,0.0014,Nernst
106,650.0,1,,0.0359,,0.0775,,0.0078,,0.0009,,0.001,Nernst
107,650.0,7,0.5676,0.0998,0.567,0.0976,0.6941,0.1079,0.9997,0.0038,0.9991,0.0055,GPR
108,650.0,12,0.9474,0.0448,0.9729,0.0299,0.9814,0.0255,0.9999,0.0018,0.9998,0.0028,GPR
109,650.0,8,0.9456,0.0278,0.9558,0.0209,0.9797,0.015,0.9943,0.0089,0.994,0.0095,GPR
110,650.0,1,,0.0336,,0.0665,,0.0861,,0.0002,,0.0041,Nernst
