T,PLS_solo_real,KPLS_solo_real,PLS_balanceado,KPLS_balanceado
550.0,0.9143,0.8664,0.9122,0.9961
575.0,0.9924,0.9924,0.7756,0.9058
600.0,0.9971,0.9877,0.784,0.8771
625.0,0.9632,0.9478,0.6222,0.7815
650.0,0.9436,0.9666,0.8244,0.9143
